"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Antigua and Barbuda","ATG","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2692307692","3.7051282051","4.141025641","4.5769230769","5.0128205128","5.4487179487","5.8846153846","6.3205128205","6.7564102564","7.1923076923","7.6282051282","8.0641025641","8.5","8.9358974359","9.3717948718","9.8076923077","9.6153846154","9.4230769231","9.2307692308","9.0384615385","8.8461538462","8.6538461538","8.4615384615","8.4615384615","8.4615384615","8.4615384615","8.4615384615","8.4615384615","8.4615384615","8.4615384615","8.4615384615","8.4615384615","","","",
"Australia","AUS","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4588661037","8.4882187374","7.981584238","8.9104141536","8.8171290712","8.7745074387","8.7318858062","8.7089827101","8.6586248492","8.3770808203","8.0955367913","7.8139927624","7.5324487334","7.0593687173","6.5862887012","6.1132086852","5.6401286691","5.2975472457","5.3136308806","6.3803779654","7.6992360273","7.4238037797","3.7072778448","4.271411339","4.8486696301","4.9577804584","4.246079614","3.4861278649","4.5999195818","","","",
"Austria","AUT","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","9.2290688035","9.3600442111","9.4910196187","9.6219950263","9.7529704338","9.8839458414","10.0099474993","10.1359491572","10.2619508151","10.3879524731","10.513954131","10.3161094225","10.118264714","9.9204200055","9.722575297","9.5247305886","9.7941420282","10.0635534678","10.0967117988","10.1298701299","10.0469743023","9.966841669","9.8839458414","9.8538961039","9.8238463664","9.7937966289","9.7637468914","9.7336971539","9.7036474164","9.6735976789","9.6435479414","9.5360903872","9.4286328329","9.3211752786","9.2137177244","9.1062601701","8.9988026158","8.8913450616","8.7838875073","8.676429953","8.676429953","8.676429953","","","",
"Azerbaijan","AZE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.547803047","72.1483771252","64.6191212188","61.6913225878","59.4259218371","55.2793111062","45.1976153676","52.8505188783","48.5316846986","43.8198277766","43.8021638331","46.4473393685","49.3486420843","52.1086332524","53.6277323913","53.367189225","50.9163170678","49.1940825789","48.4433649812","49.8829763745","52.8814307794","52.9653345109","51.1901081917","51.6184588209","52.4530801501","53.5217487304","53.7293000662","55.5972620888","53.8886288364","57.2658865092","","","",
"Burundi","BDI","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6390101892","4.1652670474","4.6915239055","5.2177807636","5.7440376218","6.2702944799","6.796551338","7.3228081962","7.8490650543","8.3753219124","8.9015787706","9.4278356287","9.9540924868","10.480349345","10.422852984","10.365356623","10.307860262","10.250363901","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","10.19286754","","","",
"Belgium","BEL","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","110.9398034398","110.3014742015","109.6631449631","109.0248157248","108.3864864865","107.7481572482","107.1098280098","106.4714987715","105.8331695332","105.1948402948","104.5565110565","103.9181818182","103.2798525799","102.6415233415","102.0031941032","101.3648648649","97.9183046683","94.4717444717","93.8394758395","93.2072072072","92.5442260442","87.6461916462","82.7481572482","81.3165438165","79.8849303849","78.4533169533","77.3961916462","76.3390663391","75.2948402948","73.7346437346","73.1326781327","62.4324324324","65.1105651106","59.3243243243","55.9705159705","49.0663390663","51.5115519042","53.956764742","51.2899262899","51.5847665848","51.8796068796","51.8796068796","","","",
"Benin","BEN","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0.8252063016","0.8613465866","0.8974868717","0.9336271568","0.9697674419","1.0059077269","1.0421980495","1.0784883721","1.1147786947","1.1510690173","1.1259511306","1.100833244","1.0757153574","1.0505974708","1.0254795842","1.0003616976","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","0.975243811","","","",
"Burkina Faso","BFA","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.7724665392","2.8898661568","3.0072657744","3.124665392","3.2420650096","3.3594646272","3.4770554493","3.5946462715","3.778627576","3.9626088804","4.1465901848","4.3305714893","4.5145527937","5.5449330784","5.8699808795","6.1950286807","6.5200764818","6.845124283","7.1701720841","7.4952198853","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","7.8202676864","","","",
"Bangladesh","BGD","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","5.7233394816","","","",
"Bulgaria","BGR","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","104.8118855791","104.6788380516","104.5457905241","104.4127429965","104.279695469","104.1466479415","100.2255401976","96.3044324537","92.3833247099","88.462216966","56.3505555966","55.2487249612","54.1468943258","53.0450636903","51.9432330549","50.8414024195","49.7395717841","48.6377411486","47.5359105132","46.4340798778","45.3300317836","43.1177470619","48.7005691478","48.1286126099","47.5566560721","46.9846995343","46.4127429965","45.8407864587","47.4905758001","45.2383768202","44.0535146722","47.1949146278","42.2396333801","40.4168822529","39.7368615567","41.6098750832","42.0504102299","41.8212728213","40.0990464927","40.0768719048","37.5194027644","37.5194027644","","","",
